ge 創世紀
exo 出埃及記
lev 利未記
num 民數記
deu 申命記
josh 約書亞記
jdgs 士師記
ruth 路得記
1sm 撒母耳上
2sm 撒母耳下
1ki 列王記上
2ki 列王記下
1chr 歷代志上
2chr 歷代志下
ezra 以斯拉記
neh 尼希米記
est 以斯帖記
job 約伯記
psa 詩篇
prv 箴言
eccl 傳道書
ssol 雅歌
isa 以賽亞書
jer 耶利米書
lam 耶利米哀歌
eze 以西結書
dan 但以理書
hos 何西阿書
joel 約珥書
amos 阿摩司書
obad 俄巴底亞書
jonah 約拿書
mic 彌迦書
nahum 那鴻書
hab 哈巴谷書
zep 西番雅書
hag 哈該書
zep 撒迦利亞書
mal 瑪拉基書
mat 馬太福音
mark 馬可福音
luke 路加福音
john 約翰福音
acts 使徒行傳
rom 羅馬書
1cor 哥林多前書
1cor 歌林多前書
2cor 哥林多後書
2cor 歌林多後書
gal 加拉太書
eph 以弗所書
phi 腓立比書
col 歌羅西書
1th 帖撒羅尼迦前書
2th 帖撒羅尼迦後書
1tim 提摩太前
2tim 提摩太後
titus 提多書
phmn 腓利門書
heb 希伯來書
jas 雅各書
1pet 彼得前書
2pet 彼得後書
1jn 約翰一書
2jn 約翰二書
3jn 約翰三書
jude 猶大書
rev 啟示錄
